,Doctor's Name,speciality,Facility.Name,,
4593,"Dr. Raul Parra, MD",Oncologist,Beloit Memorial Hospital,,
4594,"Dr. Walter Choi, MD",Radiation Oncologist,Aurora Lakeland Medical Center,,
4595,"Dr. Triantafillos John Fillos, MD",Oncologist,Community Memorial Hospital,,
4596,"Dr. James Lee, MD",Radiation Oncologist,Holy Family Memorial,,
4597,"Dr. Helen Shum, MD",Oncologist,Mile Bluff Medical Center,,
4598,"Dr. Joachim Fuks, MD",Oncologist,Bay Area Medical Center,,
4599,"Dr. Meng Shao, MD",Radiation Oncologist,Watertown Regional Medical Center,,
4600,"Dr. Isaiah Friedman, MD",Radiation Oncologist,Wheaton Franciscan - St Joseph,,
4601,"Dr. Muhammad Kafeel, MD",Oncologist,Aurora St Lukes Medical Center,,
4602,"Dr. Charna Klein, MD",Oncologist,Aurora West Allis Medical Center,,
4603,"Dr. Paul Gliedman, MD",Radiation Oncologist,Thedacare Regional Medical Center - Appleton Inc,,
4604,"Dr. Walter Choi, MD",Radiation Oncologist,Froedtert Memorial Lutheran Hospital,,
4605,"Dr. Helen Xiao-Li, MD",Radiation Oncologist,Aurora Medical Ctr Kenosha,,
4606,"Dr. Helen Shum, MD",Oncologist,Aurora Baycare Medical Ctr,,
4607,"Dr. Raul Parra, MD",Oncologist,Orthopaedic Hospital Of Wisconsin,,
4608,"Dr. Roberto Lipsztein, MD",Radiation Oncologist,Oakleaf Surgical Hospital,,
4609,"Dr. Paul Gliedman, MD",Radiation Oncologist,Aurora Medical Ctr Oshkosh,,
4610,"Dr. Avi I. Einzig, MD",Oncologist,Ascension St Clares Hospital,,
4611,"Dr. Helen Shum, MD",Oncologist,Midwest Orthopedic Specialty Hospital,,
4612,"Lauren Kelly, NP",Nurse Practitioner,Aurora Medical Center,,
4613,"Dr. Damanjit Ghuman, MD",Hematologist,Aurora Medical Center,,
4614,"Dr. Paul Gliedman, MD",Radiation Oncologist,Ssm Health St Mary's Hospital - Janesville,,
4615,"Dr. Roberto Lipsztein, MD",Radiation Oncologist,Ascension Eagle River Hospital,,
4616,"Dr. Paul Gliedman, MD",Radiation Oncologist,Mayo Clinic Health System-oakridge,,
4617,"Dr. Damanjit Ghuman, MD",Hematologist,Thedacare Medical Center - Wild Rose Inc,,
4618,"Dr. Peter Kozuch, MD",Oncologist,Gundersen St Josephs Hospital And Clinics,,
4619,"Dr. Alina Mastan, MD",Hematologist,Mayo Clinic Hlth Systm Franciscan Hlthcare Sparta,,
4620,"Dr. Tibor Moskovits, MD",Hematologist,Chippewa Valley Hospital,,
4621,"Dr. Hai Park, MD",Internist,Amery Hospital & Clinic,,
4622,"Dr. Alec Goldenberg, MD",Oncologist,Moundview Memorial Hospital And Clinics,,
4623,"Dr. Theresa Shao, MD",Oncologist,Hshs St Clare Memorial Hospital,,
4624,"Dr. Shilpi Gupta, MD",Internist,Ascension Our Lady Of Victory Hospital,,
4625,"Dr. Ilan Shapira, MD",Internist,Memorial Hospital Of Lafayette County,,
4626,"Dr. Vasanti Damle, MD",Hematologist,Ascension Sacred Heart Hospital,,
4627,"Dr. Tibor Moskovits, MD",Hematologist,Mayo Clinic Health System-chippewa Valley,,
4628,"Dr. Richard Stark, MD",Internist,Mayo Clinic Health System-northland,,
4629,"Dr. Kin Lam, MD",Internist,Gundersen Tri-county Hospital And Clinics,,
4630,"Dr. Norland Ng, MD",Internist,Ascension Calumet Hospital,,
4631,"Dr. Martin Brower, MD",Oncologist,Ladd Memorial Hospital,,
4632,"Dr. Jean Lee, MD",Oncologist,Edgerton Hospital And Health Services,,
4633,"Dr. Shrujal Baxi, MD",Oncologist,Tomah Memorial Hospital,,
4634,"Dr. Anna Pavlick, DO",Oncologist,Ripon Medical Center,,
4635,"Dr. Louis Williams, MD",Internist,Grant Regional Health Center,,
4636,"Dr. David Wise, MD",Oncologist,Memorial Medical Center,,
4637,"Dr. Elena Katz, MD",Oncologist,"Aspirus Medford Hospital & Clinics, Inc",,
4638,"Dr. William Cheung, MD",Internist,Flambeau Hospital,,
4639,"Dr. Daniel Becker, MD",Oncologist,Thedacare Medical Center New London,,
4640,"Dr. Nikhil Uppal, MD",Internist,Waupun Memorial Hospital,,
4641,"Dr. Robert Udesky, MD",Internist,Marshfield Medical Center - Ladysmith,,
4642,"Dr. Jeffrey Weber, MD",Oncologist,Essentia Health St Mary's Hospital - Superior,,
4643,"Dr. Marleen Meyers, MD",Oncologist,Crossing Rivers Health Medical Center,,
4644,"Dr. Martin Brower, MD",Oncologist,Burnett Medical Center,,
4645,"Dr. Paul Bader, MD",Internist,Spooner Health System,,
4646,"Dr. Coral Omene, MD",Oncologist,Black River Memorial Hospital,,
4647,"Dr. Anna Pavlick, DO",Oncologist,Thedacare Medical Center - Waupaca Inc,,
4648,"Catherine Handy, PHDRN",Hematologist,Hudson Hospital & Clinic,,
4649,"Dr. Qi Feng, MD",Internist,Hayward Area Memorial Hospital,,
4650,"Dr. William Cheung, MD",Internist,St Croix Regional Medical Center,,
4651,"Dr. Zujun Li, MD",Oncologist,Columbus Community Hospital,,
4652,"Dr. Daniel Cho, MD",Oncologist,Ascension Good Samaritan Hospital,,
4653,"Dr. Paul Oberstein, MD",Internist,Mayo Clinic Health System-red Cedar,,
4654,"Dr. Russell Levine, MD",Ophthalmologist,Richland Hospital,,
4655,"Dr. Samuel Wong, MD",Ophthalmologist,Indianhead Medical Center Shell Lake,,
4656,"Dr. Priti Batta, MD",Ophthalmologist,Stoughton Hospital,,
4657,"Dr. Dalia Nagel, MD",Ophthalmologist,Gundersen Boscobel Area Hospital And Clinics,,
4658,"Dr. Allie Nadelson, MD",Ophthalmologist,Westfields Hospital And Clinic,,
4659,"Dr. Leeber Cohen, MD",Ophthalmologist,Thedacare Medical Center - Shawano Inc,,
4660,"Dr. Christopher Coad, MD, FACS",Ophthalmologist,Western Wisconsin Health,,
4661,"Dr. Michel Moulin, MD",Ophthalmologist,Vernon Memorial Hospital,,
4662,"Dr. Lawrence Pape, MD",Ophthalmologist,River Falls Area Hospital,,
4663,"Dr. Angie Wen, MD",Ophthalmologist,Aspirus Langlade Hospital,,
4664,"Dr. Yuna Rapoport, MD, MPH",Ophthalmologist,Reedsburg Area Medical Center,,
4665,"Dr. Dalia Nagel, MD",Ophthalmologist,Upland Hills Health,,
4666,"Dr. Anthony Curreri, MD",Ophthalmologist,Cumberland Memorial Hospital,,
4667,"Dr. Debra Guthrie, MD",Ophthalmologist,Southwest Health Center,,
4668,"Dr. Relly Chern, MD",Ophthalmologist,Thedacare Medical Center - Berlin Inc,,
4669,"Dr. Robert Auerbach, MD",Ophthalmologist,Bellin Health Oconto Hospital,,
4670,"Dr. Elena Geller, MD",Ophthalmologist,Mercy Walworth Hospital & Medical Center,,
4671,"Dr. Marc Rubinstein, MD",Ophthalmologist,Door County Medical Center,,
4672,"Dr. Sandra Belmont, MD",Ophthalmologist,Memorial Medical Center,,
4673,"Dr. Marc Rubinstein, MD",Ophthalmologist,Childrens Hospital Of Wisconsin,,
4674,"Dr. Sandra Belmont, MD",Ophthalmologist,Childrens Hospital Of Wisconsin Fox Valley,,
4675,"Dr. Elena Geller, MD",Ophthalmologist,Campbell County Memorial Hospital,,
4676,"Dr. Elena Geller, MD",Ophthalmologist,Sheridan Memorial Hospital,,
4677,"Dr. Albert Joseph Rudick, MD",Ophthalmologist,Sagewest Health Care,,
4678,"Dr. Allie Nadelson, MD",Ophthalmologist,Memorial Hospital Sweetwater County,,
4679,"Dr. Scott Weissman, MD",Ophthalmologist,Wyoming Medical Center,,
4680,"Dr. Ari Weitzner, MD",Ophthalmologist,Cheyenne Regional Medical Center,,
4681,"Dr. H. Jay Wisnicki, MD",Ophthalmologist,St Johns Medical Center,,
4682,"Dr. Jonathan Ellant, MD",Ophthalmologist,Ivinson Memorial Hospital,,
4683,"Dr. Michael Newton, MD",Ophthalmologist,Evanston Regional Hospital,,
4684,"Dr. Robert Ritch, MD",Ophthalmologist,Mountain View Regional Hospital,,
4685,"Dr. Hindola Konrad, MD",Ophthalmologist,Summit Medical Center,,
4686,"Dr. Jennifer Tsai, OD",Optometrist,Aspen Mountain Medical Center,,
4687,"Dr. Robert Friedman, MD",Ophthalmologist,South Big Horn County Critical Access Hospital,,
4688,"Dr. Krishna Patel, OD",Optometrist,Memorial Hospital Of Converse County,,
4689,"Dr. Albert Joseph Rudick, MD",Ophthalmologist,Weston County Health Services,,
4690,"Dr. Yuna Rapoport, MD, MPH",Ophthalmologist,Hot Springs County Memorial Hospital,,
4691,"Dr. Ravi Parikh, MD",Ophthalmologist,Platte County Memorial Hospital,,
4692,"Dr. Yoonsung Kim, OD",Optometrist,Washakie Medical Center,,
4693,"Dr. Leonard Bley, MD",Ophthalmologist,Community Hospital,,
4694,"Dr. Deeba Chaudri, OD",Optometrist,Johnson County Healthcare Center,,
4695,"Dr. Sajid Malik, MD, FACS, FACP",Ophthalmologist,North Big Horn Hospital District,,
4696,"Dr. Dalia Nagel, MD",Ophthalmologist,Powell Valley Hospital,,
4697,"Dr. Gregory Pamel, MD",Ophthalmologist,Crook County Hospital,,
4698,"Dr. Angie Wen, MD",Ophthalmologist,Cody Regional Health,,
4699,"Dr. Kevin Murtha, OD",Optometrist,Star Valley Medical Center,,
4700,"Dr. Jacqueline W. Muller, MD",Ophthalmologist,Niobrara Health & Life Center,,
4701,"Dr. Warren Appleman, MD",Ophthalmologist,South Lincoln Medical Center - Cah,,
4702,"Dr. Lisa Declemente, OD",Optometrist,Memorial Hospital Of Carbon County,,
4703,"Dr. Benjamin Whigham, MD",Ophthalmologist,Lbj Tropical Medical Center,,
4704,"Dr. Nicole Sangani, OD",Optometrist,Guam Memorial Hospital Authority,,
4705,"Dr. Andrew Tang, OD",Optometrist,Guam Regional Medical City,,
4706,"Dr. Louis Sarantakos, OD",Optometrist,Commonwealth Health Center,,
4707,"Dr. Eric Dessner, MD",Ophthalmologist,St Marks Medical Center,,
4708,"Dr. Maria Basile, MD",Ophthalmologist,Memorial Hermann Surgical Hospital Kingwood,,
4709,"Dr. Maria Basile, MD",Ophthalmologist,The Hospital At Westlake Medical Center,,
4710,"Dr. Joseph Sturm, MD",Ophthalmologist,Houston Physicians' Hospital,,
4711,"Dr. Kirk Kaupke, OD",Optometrist,Mayhill Hospital,,
4712,"Dr. Jay Yoon, OD",Optometrist,Methodist Mansfield Medical Center,,
4713,"Dr. Seema Amin, OD",Optometrist,North Cypress Medical Center,,
4714,"Dr. Maria Basile, MD",Ophthalmologist,The Heart Hospital Baylor Plano,,
4715,"Dr. Maria Basile, MD",Ophthalmologist,St Luke's Patients Medical Center,,
4716,"Dr. Idil Bilgin, OD",Optometrist,Scott & White Hospital-round Rock,,
4717,"Dr. Edward Rubinchik, MD",Ophthalmologist,Seton Medical Center Williamson,,
4718,"Dr. John Mitchell, MD",Ophthalmologist,Cedar Park Regional Medical Center,,
4719,"Dr. Krishna Patel, OD",Optometrist,Texas Health Presbyterian Hospital Rockwall,,
4720,"Dr. Samuel Wong, MD",Ophthalmologist,"Cook Childrens Northeast Hospital, Llc",,
4721,"Dr. Neil Schafran, OD",Optometrist,Usmd Hospital  At Fort Worth Lp,,
4722,"Dr. Andrew Salzan, OD",Optometrist,Sierra Providence East Medical Center,,
4723,"Dr. Azzrah Thobani, OD",Optometrist,North Central Surgical Center Llp,,
4724,"Dr. Vanessa Hernandez, OD",Optometrist,St Luke's Sugar Land Hospital,,
4725,"Dr. Oscar Leis, OD",Optometrist,Foundation Surgical Hospital Of San Antonio,,
4726,"Dr. Douglas Friedrich, MD",Ophthalmologist,Methodist Stone Oak Hospital,,
4727,"Dr. Douglas Friedrich, MD",Ophthalmologist,Seton Medical Center Hays,,
4728,"Dr. Elaine Chu, OD",Optometrist,St Lukes Lakeside Hospital,,
4729,"Dr. Emily Moriarty, MD",Ophthalmologist,Baylor Scott And White Medical Center Sunnyvale,,
4730,"Dr. Robert Behan, OD",Optometrist,South Texas Surgical Hospital,,
4731,"Dr. Howard Kornstein, MD",Ophthalmologist,Baylor Emergency Medical Center,,
4732,"Dr. Lara Mendelssohn, OD",Optometrist,Baylor Orthopedic And Spine Hospital At Arlington,,
4733,"Dr. Lawrence Forgacs, OD",Optometrist,Texas Health Presbyterian Hospital Flower Mound,,
4734,"Dr. Brandon Harnos, OD",Optometrist,Methodist Mckinney Hospital,,
4735,"Dr. Richard Scott Russell, MD",Ophthalmologist,Texas Health Heart & Vascular Hospital Arlington,,
4736,"Dr. Elena Rosen, OD",Optometrist,Methodist Hospital For Surgery,,
4737,"Dr. Adebukola Adebayo, MD",Ophthalmologist,St Luke's Hospital At The Vintage,,
4738,"Dr. Stephen Rozenberg, OD",Optometrist,Baylor Scott And White Surgical Hospital At Sherma,,
4739,"Dr. Adam Schneiderman, MD",Ophthalmologist,Houston Methodist West Hospital,,
4740,"Dr. Izak Herschitz, MD",Ophthalmologist,Baptist Emergency Hospital,,
4741,"Dr. Alan Schlussel, OD",Optometrist,Seton Medical Center Harker Heights,,
4742,"Dr. Marcia Tapper-Rosenberg, MD",Ophthalmologist,Baylor Scott And White  Medical Center  Mckinney,,
4743,"Dr. Jessica Fleishman, MD",Ophthalmologist,Texas General Hospital,,
4744,"Dr. Beatrice Whitaker, MD",Ophthalmologist,Texas Health Harris Methodist Hospital Alliance,,
4745,"Dr. Millie Fell, MD, FACS",Ophthalmologist,Baylor Scott & White Emergency Medical Center At C,,
4746,"Dr. John Rocco Robilotto, OD, PhD",Optometrist,Baylor Scott & White Medical Center- College Stati,,
4747,"Dr. Lina Cawog, OD",Optometrist,Crescent Medical Center Lancaster,,
4748,"Dr. Neha Shaik, MD",Ophthalmologist,"Aspire Behavioral Health Of Conroe, Llc",,
4749,"Dr. John Rocco Robilotto, OD, PhD",Optometrist,Little River Healthcare Cameron Hospital,,
4750,"Dr. David Gross, OD",Optometrist,Memorial Hermann Tomball Hospital,,
4751,"Dr. Sajid Malik, MD, FACS, FACP",Ophthalmologist,Baylor Emergency Medical Center,,
4752,"Dr. Darren Wallis, OD",Optometrist,Resolute Health Hospital,,
4753,"Dr. Alexander Rabinovich, MD",Ophthalmologist,Emil J Freireich Cancer Center,,
4754,"Dr. Akhilesh Singh, MD",Ophthalmologist,"Ad Hospital East, Llc",,
4755,"Dr. Joseph Sturm, MD",Ophthalmologist,Medical City Alliance,,
4756,"Dr. Lisa Declemente, OD",Optometrist,Pearland Medical Center,,
4757,"Dr. John Pilavas, MD",Ophthalmologist,Baylor Emergency Medical Center,,
4758,"Dr. Hanish Patel, OD, FAAO",Optometrist,Baylor Scott & White Medical Center - Marble Falls,,
4759,"Dr. Hanish Patel, OD, FAAO",Optometrist,Altus Baytown Hospital,,
4760,"Dr. Nadine (Jamal) Eisenberg, OD",Optometrist,First Texas Hospital Carrollton Llc,,
4761,"Dr. Jinyoung Choe, OD",Optometrist,Cumberland Surgical Hospital,,
4762,"Dr. John Pilavas, MD",Ophthalmologist,"Humble Surgical Hospital, Llc",,
4763,"Dr. Mark Avinoam Bitton, MD",Ophthalmologist,Cleveland Emergency Hospital,,
4764,"Dr. Rachel Goretsky, OD",Optometrist,Wise Health System,,
4765,"Dr. Jacob Nachum, OD",Optometrist,Texas General Hospital- Vzrmc Lp,,
4766,"Dr. Elias Aliprandis, MD",Ophthalmologist,First Texas Hospital,,
4767,"Dr. George A. Zikos, OD, MS",Optometrist,Providence Hospital Of North Houston Llc,,
4768,"Dr. Izak Herschitz, MD",Ophthalmologist,The Hospitals Of Providence Transmountain Campus,,
4769,"Dr. George A. Zikos, OD, MS",Optometrist,Saint Camillus Medical Center,,
4770,"Dr. Samuel Miller, MD",Ophthalmologist,Houston Methodist The Woodlands Hospital,,
4771,"Dr. Kim Le, MD",Ophthalmologist,The Hospitals Of Providence Horizon City Campus,,
4772,"Dr. Wenny Tan, OD",Optometrist,Southeast Alabama Medical Center,,
4773,"Dr. Sean C. Fein, OD",Optometrist,Marshall Medical Center South,,
4774,"Dr. Marissa Israel, OD",Optometrist,Eliza Coffee Memorial Hospital,,
4775,"Dr. Aaron Mandel, OD",Optometrist,Mizell Memorial Hospital,,
4776,"Dr. Julius Shulman, MD",Ophthalmologist,Crenshaw Community Hospital,,
4777,"Dr. Victoria Kravchenko, OD",Optometrist,St Vincent's East,,
4778,"Dr. Mary Wu, OD",Optometrist,Dekalb Regional Medical Center,,
4779,"Dr. Emily Kus, OD",Optometrist,Shelby Baptist Medical Center,,
4780,"Dr. Daniel Khodadadian, MD",Ophthalmologist,Callahan Eye Hospital,,
4781,"Dr. Mijin Sohn, OD",Optometrist,Helen Keller Memorial Hospital,,
4782,"Dr. Samuel Miller, MD",Ophthalmologist,Dale Medical Center,,
4783,"Dr. Edward Rubinchik, MD",Ophthalmologist,Floyd Cherokee Medical Center,,
4784,"Dr. Rachel Goretsky, OD",Optometrist,Baptist Medical Center South,,
4785,"Dr. Anita Gupta, MD",Ophthalmologist,Jackson Hospital & Clinic Inc,,
4786,"Dr. Shrishyla (Shri) Yelgar, OD",Optometrist,East Alabama Medical Center,,
4787,"Dr. Natan Dorfman, OD",Optometrist,Tanner Medical Center-east Alabama,,
4788,"Dr. Minh Vu, OD",Optometrist,University Of Alabama Hospital,,
4789,"Dr. Jennifer Colavito, OD",Optometrist,Community Hospital Inc,,
4790,"Dr. Alan Kurfirst, OD",Optometrist,Cullman Regional Medical Center,,
4791,"Dr. Maureen O'Dwyer, OD",Optometrist,Andalusia Health,,
4792,"Dr. Earl Sandor, MD",Ophthalmologist,Stringfellow Memorial Hospital,,
4793,"Dr. Brian Herschorn, MD",Ophthalmologist,Huntsville Hospital,,
4794,"Dr. Erin Walsh, MD",Ophthalmologist,Gadsden Regional Medical Center,,
4795,"Dr. Kelsey Butler, OD",Optometrist,Marion Regional Medical Center,,
4796,"Dr. Gregory Borukhov, OD",Optometrist,Fayette Medical Center,,
4797,"Dr. Idil Bilgin, OD",Optometrist,Riverview Regional Medical Center,,
4798,"Dr. Elaine Yee, OD",Optometrist,Georgiana Medical Center,,
4799,"Dr. Dina (Iskander) Morar, OD",Optometrist,Medical Center Enterprise,,
4800,"Dr. Kristen Saggese, OD",Optometrist,Greene County Hospital,,
4801,"Dr. Stephen Kronenberg, MD",Ophthalmologist,Lake Martin Community Hospital,,
4802,"Dr. Christine Law, OD",Optometrist,Flowers Hospital,,
4803,"Dr. Leonard Bley, MD",Ophthalmologist,St Vincent's Birmingham,,
4804,"Dr. Rajat Shetty, OD",Optometrist,Bibb Medical Center,,
4805,"Dr. Jennifer Cohen, OD",Optometrist,Lawrence Medical Center,,
4806,"Dr. Dina (Iskander) Morar, OD",Optometrist,Highlands Medical Center,,
4807,"Dr. Dina (Iskander) Morar, OD",Optometrist,Wiregrass Medical Center,,
4808,"Dr. Sherry Liu, OD",Optometrist,Russell Medical Center,,
4809,"Dr. Daniel Klapper, MD",Ophthalmologist,Medical Center Barbour,,
4810,"Dr. Kaushal Kulkarni, MD",Ophthalmologist,Clay County Hospital,,
4811,"Dr. Allie Nadelson, MD",Ophthalmologist,Northeast Alabama Regional Medical Center,,
4812,"Dr. Nancy Choe, OD",Optometrist,Athens Limestone Hospital,,
4813,"Dr. Darren Wallis, OD",Optometrist,South Baldwin Regional Medical Center,,
4814,"Dr. Nancy Choe, OD",Optometrist,Decatur Morgan Hospital-decatur Campus,,
4815,"Dr. Leonard Bley, MD",Ophthalmologist,Northwest Medical Center,,
4816,"Dr. Sarika Mehta, OD",Optometrist,University Of South Alabama Medical Center,,
4817,"Dr. Tak Yee Tania Tai, MD",Ophthalmologist,Walker Baptist Medical Center,,
4818,"Dr. Miriam Madry, OD",Optometrist,Providence Hospital,,
4819,"Dr. Jin Chiu, OD",Optometrist,Grove Hill Memorial Hospital,,
4820,"Dr. Minh Vu, OD",Optometrist,D C H Regional Medical Center,,
4821,"Dr. Douglas Buxton, MD",Ophthalmologist,Hale County Hospital,,
4822,"Dr. Kichiemon Asoma, MD",Ophthalmologist,Elmore Community Hospital,,
4823,"Dr. Ghulam Dastgir, MD",Ophthalmologist,D W Mcmillan Memorial Hospital,,
4824,"Dr. Wendy Josephs, OD",Optometrist,Thomas Hospital,,
4825,"Dr. Anita Gupta, MD",Ophthalmologist,Citizens Baptist Medical Center,,
4826,"Dr. Ryan Ngo, OD",Optometrist,J Paul Jones Hospital,,
4827,"Dr. Jennifer Cohen, OD",Optometrist,Princeton Baptist Medical Center,,
4828,"Dr. Michael Ahdoot, MD",Ophthalmologist,Grandview Medical Center,,
4829,"Dr. Izak Herschitz, MD",Ophthalmologist,Prattville Baptist Hospital,,
4830,"Dr. Brittni Rodriguez, OD",Optometrist,Pickens County Medical Center,,
4831,"Dr. Erin Walsh, MD",Ophthalmologist,Bullock County Hospital,,
4832,"Dr. Michael Block, OD",Optometrist,Bryan W. Whitfield Memorial Hospital,,
4833,"Dr. Michael Kakzanov, OD",Optometrist,Mobile Infirmary Medical Center,,
4834,"Dr. Jennifer Tsai, OD",Optometrist,"Medical West, An Affiliate Of Uab Health System",,
4835,"Dr. Ghulam Dastgir, MD",Ophthalmologist,Vaughan Regional Medical Center Parkway Campus,,
4836,"Dr. S. Awad, OD",Optometrist,Monroe County Hospital,,
4837,"Dr. Luana Menezes, OD",Optometrist,Lakeland Community Hospital,,
4838,"Dr. A (Abraham) David Flug, MD",Ophthalmologist,Troy Regional Medical Center,,
4839,"Dr. Nicholas Nissirios, MD",Ophthalmologist,Jackson Medical Center,,
4840,"Dr. Matthew Nobe, MD",Ophthalmologist,North Baldwin Infirmary,,
4841,"Dr. Robert Auerbach, MD",Ophthalmologist,St Vincent's St Clair,,
4842,"Dr. Naomi Hayashi, MD",Ophthalmologist,Crestwood Medical Center,,
4843,"Dr. Mitchell Vogel, MD, FACS",Ophthalmologist,Hill Hospital Of Sumter County,,
4844,"Dr. Michael Cohn, OD",Optometrist,Brookwood Baptist Medical Center,,
4845,"Dr. Jennifer Tsai, OD",Optometrist,Springhill Memorial Hospital,,
4846,"Dr. Krishna Patel, OD",Optometrist,Rmc Jacksonville,,
4847,"Dr. Yoonsung Kim, OD",Optometrist,Evergreen Medical Center,,
4848,"Dr. Deeba Chaudri, OD",Optometrist,Baptist Medical Center East,,
4849,"Dr. Kevin Murtha, OD",Optometrist,L V Stabler Memorial Hospital,,
4850,"Dr. Lisa Declemente, OD",Optometrist,Shoals Hospital,,
4851,"Dr. Andrew Tang, OD",Optometrist,Russellville Hospital,,
4852,"Dr. Louis Sarantakos, OD",Optometrist,Coosa Valley Medical Center,,
4853,"Dr. Russell Levine, MD",Ophthalmologist,Jack Hughston Memorial Hospital,,
4854,"Dr. Kirk Kaupke, OD",Optometrist,Atmore Community Hospital,,
4855,"Dr. Nicole Sangani, OD",Optometrist,St Vincent's Chilton,,
4856,"Dr. Seema Amin, OD",Optometrist,Washington County Hospital,,
4857,"Dr. Oscar Leis, OD",Optometrist,Red Bay Hospital,,
4858,"Dr. Idil Bilgin, OD",Optometrist,Choctaw General Hospital,,
4859,"Dr. Azzrah Thobani, OD",Optometrist,St Vincents Blount,,
4860,"Dr. Vanessa Hernandez, OD",Optometrist,Children's Hospital Of Alabama,,
4861,"Dr. Jay Yoon, OD",Optometrist,University Of S A Children's And Women's Hos,,
4862,"Dr. Andrew Salzan, OD",Optometrist,Providence Alaska Medical Center,,
4863,"Dr. Neil Schafran, OD",Optometrist,Mat-su Regional Medical Center,,
4864,"Dr. Krishna Patel, OD",Optometrist,Bartlett Regional Hospital,,
4865,"Dr. Elaine Chu, OD",Optometrist,Fairbanks Memorial Hospital,,
4866,"Dr. Lara Mendelssohn, OD",Optometrist,Alaska Regional Hospital,,
4867,"Dr. Leeber Cohen, MD",Ophthalmologist,Yukon Kuskokwim Delta Reg Hospital,,
4868,"Dr. Dalia Nagel, MD",Ophthalmologist,Central Peninsula General Hospital,,
4869,"Dr. Dana Mavrovich, OD",Optometrist,Alaska Native Medical Center,,
4870,"Dr. Lawrence Forgacs, OD",Optometrist,Providence Valdez Medical Center,,
4871,"Dr. Robert Behan, OD",Optometrist,Providence Seward Hospital,,
4872,"Dr. Sophia Visanji, OD",Optometrist,Sitka Community Hospital,,
4873,"Dr. Sophia Visanji, OD",Optometrist,Petersburg Medical Center,,
4874,"Dr. Samuel Wong, MD",Ophthalmologist,Wrangell Medical Center,,
4875,"Dr. Christopher Coad, MD, FACS",Ophthalmologist,Providence Kodiak Island Medical Ctr,,
4876,"Dr. Robert Friedman, MD",Ophthalmologist,Cordova Community Medical Center,,
4877,"Dr. Stephen Rozenberg, OD",Optometrist,Norton Sound Regional Hospital,,
4878,"Dr. Alan Schlussel, OD",Optometrist,Kanakanak Hospital,,
4879,"Dr. Melissa Carr, OD",Optometrist,Maniilaq Health Center,,
4880,"Dr. Elena Rosen, OD",Optometrist,Ketchikan Medical Center,,
4881,"Dr. Brandon Harnos, OD",Optometrist,Samuel Simmonds Memorial Hospital,,
4882,"Dr. Yuna Rapoport, MD, MPH",Ophthalmologist,South Peninsula Hospital,,
4883,"Dr. David Gross, OD",Optometrist,Mt Edgecumbe Hospital,,
4884,"Dr. John Rocco Robilotto, OD, PhD",Optometrist,Banner - University Medical Center Phoenix,,
4885,"Dr. Lisa Declemente, OD",Optometrist,Tucson Medical Center,,
4886,"Dr. John Rocco Robilotto, OD, PhD",Optometrist,Verde Valley Medical Center,,
4887,"Dr. Priti Batta, MD",Cornea & External Diseases Specialist,St. Mary's Hospital,,
4888,"Dr. Hanish Patel, OD, FAAO",Optometrist,St Joseph's Hospital,,
4889,"Dr. Hanish Patel, OD, FAAO",Optometrist,Yavapai Regional Medical Center,,
4890,"Dr. Nadine (Jamal) Eisenberg, OD",Optometrist,Yuma Regional Medical Center,,
4891,"Dr. Jinyoung Choe, OD",Optometrist,John C. Lincoln North Mountain Hospital,,
4892,"Dr. Rachel Goretsky, OD",Optometrist,Banner Casa Grande Medical Center,,
4893,"Dr. Lawrence Pape, MD",Ophthalmologist,Maricopa Medical Center,,
4894,"Dr. Lina Cawog, OD",Optometrist,Flagstaff Medical Center,,
4895,"Dr. George A. Zikos, OD, MS",Optometrist,St. Joseph's Hospital And Medical Center,,
4896,"Dr. Darren Wallis, OD",Optometrist,Abrazo Central Campus,,
4897,"Dr. George A. Zikos, OD, MS",Optometrist,Chandler Regional Medical Center,,
4898,"Dr. Marissa Israel, OD",Optometrist,St Luke's Medical Center,,
4899,"Dr. Michelle Chun, OD",Optometrist,Scottsdale Osborn Medical Center,,
4900,"Dr. Michel Moulin, MD",Ophthalmologist,Canyon Vista Medical Center,,
4901,"Dr. Mary Wu, OD",Optometrist,Kingman Regional Medical Center,,
4902,"Dr. Anthony Curreri, MD",Ophthalmologist,Banner Boswell Medical Center,,
4903,"Dr. Wenny Tan, OD",Optometrist,Summit Healthcare Regional Medical Center,,
4904,"Dr. Dalia Nagel, MD",Ophthalmologist,Banner - University Medical Center Tucson Campus,,
4905,"Dr. Sean C. Fein, OD",Optometrist,Banner Desert Medical Center,,
4906,"Dr. Albert Joseph Rudick, MD",Ophthalmologist,Mt. Graham Regional Medical Center,,
4907,"Dr. Jacob Nachum, OD",Optometrist,Havasu Regional Medical Center,,
4908,"Dr. Emily Kus, OD",Optometrist,Fort Defiance Indian Hospital,,
4909,"Dr. Angie Wen, MD",Refractive Surgeon,Tuba City Regional Health Care Corporation,,
4910,"Dr. Mijin Sohn, OD",Optometrist,Sells Hospital,,
4911,"Dr. Relly Chern, MD",Ophthalmologist,San Carlos Apache Healthcare,,
4912,"Dr. Rachel Goretsky, OD",Optometrist,Phoenix Indian Medical Center,,
4913,"Dr. Andrea Yang, OD",Optometrist,Abrazo Scottsdale Campus,,
4914,"Dr. Sophia Visanji, OD",Optometrist,Chinle Comprehensive Health Care Facility,,
